House_ID,Location,City_Town,Type_of_House,Bedrooms,Bathrooms,Lot_Size_sqft,House_Price_KSh,House_Tax_Rate_%,Year_Built,Proximity_to_City_km,Price_Change_Since_2020_KSh,Price_2020_KSh,Price_2021_KSh,Price_2022_KSh,Price_2023_KSh,Price_2024_KSh
96,Kericho,Kapsoit,Villa,1,1,3667,16292344,1.16,2011,46.41,4707740,20546114,17693203,20159832,14363327,16115096
97,Machakos,Athi River,Mansion,5,1,3038,14250838,1.81,2008,3.02,-1802699,13560054,13380881,12145253,12185009,12661164
98,Mombasa,Changamwe,Mansion,2,1,4378,68568323,1.43,1983,1.45,-11330366,86600197,84167366,87120364,79215651,58228589
99,Thika,Kiganjo,Villa,5,4,2339,15341508,3.86,2020,15.87,-1971622,17623980,15816355,15173383,17379356,13218344
100,Eldoret,Pioneer,Villa,1,1,4909,41221082,3.1,2021,21.21,5884301,41422374,47916737,41996891,39664087,51656833
101,Mombasa,Nyali,Apartment,4,3,4784,57774306,3.1,1980,33.86,4680453,62972933,63087509,64883508,66405688,47032027
102,Machakos,Kangundo,Apartment,6,5,4587,52768946,4.82,1988,39.7,11040019,59155687,45769120,48251384,44356819,67903552
103,Nakuru,Kiamunyi,Villa,6,2,4440,10863861,2.66,2020,46.0,-676855,10566258,9237516,9628773,10532960,13454913
104,Machakos,Athi River,Villa,3,2,4706,80241309,4.68,2013,9.24,7091491,67527295,99923864,64946081,65654954,70141849
105,Kericho,Litein,Bungalow,2,2,4677,79745685,3.67,2013,3.3,4174007,66846574,85121384,88784470,70698532,90757587
106,Kisumu,Lolwe,Mansion,5,2,2211,68133025,2.16,1994,27.19,6957622,64074640,54657098,61431405,60112005,87042376
107,Nakuru,London,Bungalow,5,2,2936,94312836,2.35,1982,47.57,12073816,100440919,90788208,107160031,81895408,94265906
108,Kericho,Kipkelion,Apartment,4,4,912,96447102,3.91,2016,42.95,4009956,94404302,78093035,97907768,105763641,92824877
109,Nyeri,Mathari,Mansion,1,1,3780,24856905,1.4,1984,22.27,1635005,24163814,21723752,26796568,22491085,24934195
110,Nairobi,Kilimani,Mansion,5,5,4314,56719678,3.91,1983,15.37,-2679806,71088155,64069669,64009574,73518955,55170657
111,Kisumu,Nyalenda,Apartment,6,4,3482,66019628,4.03,2012,16.12,6504543,59547723,53290054,63979803,79851605,60658881
112,Mombasa,Changamwe,Mansion,5,3,3304,83473164,3.03,1991,6.68,12532593,93026572,89551866,80982770,79065329,89221554
113,Nyeri,Kamakwa,Bungalow,1,1,1166,26194311,2.05,2016,17.82,-2920750,23749231,30130317,24713207,26113745,27963743
114,Kisumu,Lolwe,Villa,3,1,3634,70682090,3.24,2021,10.9,-5817655,56824559,75315137,65442786,63004938,67043918
115,Nakuru,Lanet,Mansion,1,1,4453,22237125,2.97,1992,17.26,3282418,23169363,18967139,19167704,24384136,19941063
116,Nairobi,Karen,Apartment,5,4,2434,58648009,4.78,1983,22.03,5522818,59482243,56128222,62197750,62723908,71006504
117,Thika,Makongeni,Apartment,4,3,2719,18757489,3.33,1992,13.99,-3410256,24083510,17607957,16391453,16410725,16117318
118,Nyeri,Kamakwa,Bungalow,2,1,2147,16066864,3.58,1991,9.6,4381018,18346689,20571578,14340555,18248343,14905014
119,Nyeri,Mathari,Apartment,3,2,1763,80705679,1.01,2020,18.57,11063673,94319728,84202352,74040896,83080597,64659429
120,Nyeri,Skuta,Mansion,3,3,685,27314010,1.26,1988,22.7,-1604853,26152459,22372632,34146923,23078649,31886847
121,Nakuru,Naka,Mansion,3,3,3941,53132940,1.29,1999,33.57,5105337,53736015,45891200,62782244,63490036,64029208
122,Nairobi,Kilimani,Townhouse,3,2,4073,30879134,3.38,1992,39.55,5778298,30024696,25088707,37656828,28222626,34519393
123,Nyeri,Kamakwa,Mansion,1,1,3163,25107024,2.47,1996,35.05,4055271,32008218,24664874,21571734,24308435,23852802
124,Kericho,Kapsoit,Mansion,1,1,604,60852446,4.33,1995,38.92,8337631,60580371,68873378,69951243,64586226,52011641
125,Thika,Ruiru,Townhouse,3,2,1303,93993842,1.73,2002,9.46,-13384531,119436849,80785003,97235674,99887466,87592536
126,Eldoret,Kapsoya,Bungalow,6,5,3094,77297849,3.87,2002,40.01,5352995,91328199,95649595,72530352,62683308,72090497
127,Machakos,Katani,Bungalow,6,3,1814,3287281,4.37,1992,47.73,-504929,3124007,3261249,3267335,2749398,3804943
128,Kisumu,Mamboleo,Apartment,6,3,4910,48592781,2.63,2001,30.75,-4310886,55872619,40395229,58349854,40626858,56231165
129,Kericho,Kipkelion,Villa,5,4,3783,13402838,3.26,2008,45.57,2347807,16496461,16488617,14896221,16856108,13443652
130,Nyeri,Ruring'u,Townhouse,1,1,1303,82881102,2.53,1993,16.6,17520777,98962500,96845688,79687964,103975110,107192215
131,Nyeri,Skuta,Townhouse,2,2,3749,61196225,4.53,1999,25.24,-3191375,52976334,68879478,57061121,74068951,49489776
132,Mombasa,Bamburi,Bungalow,1,1,3448,73520160,2.82,2012,37.07,15166386,86535035,72114230,64494888,70562885,93597575
133,Machakos,Mlolongo,Bungalow,3,3,3750,90327253,2.2,1990,26.69,13858939,107954199,95500857,77440248,84415102,77170418
134,Thika,Kiganjo,Bungalow,4,2,1784,80535605,4.22,1996,18.71,14571401,87528164,64986706,83899464,97627559,72120685
135,Thika,Ruiru,Villa,1,1,1593,63124462,3.28,2022,15.41,-10785865,81763139,67005825,80710482,55834415,63365008
136,Eldoret,West Indies,Mansion,3,3,2469,80108207,2.33,1995,33.64,-1570383,91266800,91069765,86698718,78164086,92199904
137,Kisumu,Lolwe,Mansion,3,3,1482,32876054,4.33,2021,21.01,7942864,30014822,29157800,30681970,41983790,41918764
138,Machakos,Athi River,Bungalow,2,2,3238,69993796,1.23,1985,3.06,16492048,78745286,59305397,75155533,84568665,67862826
139,Nairobi,Karen,Townhouse,5,3,1568,8607649,2.53,2002,12.64,802372,10340435,8643932,9201780,7645712,7939230
140,Kisumu,Lolwe,Mansion,4,2,1560,12490971,4.38,2016,1.45,-1386830,15698169,13677219,11028947,15425823,12862970
141,Machakos,Kangundo,Villa,6,6,4828,80141284,3.11,1984,47.14,-11874968,77338990,95511465,96204605,98727982,96784434
142,Malindi,Mambrui,Villa,1,1,1619,72522422,1.15,2010,15.19,12329822,91605274,77421739,69371612,61502171,66815267
143,Kericho,Ainamoi,Townhouse,4,2,4103,28404693,2.15,2021,28.76,6388967,23696750,26258399,24967035,26621903,29066199
144,Malindi,Ganda,Townhouse,1,1,2871,2076946,4.48,2005,33.27,-62323,1671623,1969469,2102467,1869929,2230724
145,Machakos,Matuu,Bungalow,2,1,3308,44413317,3.74,1997,10.56,9640976,50176073,43598734,47170070,54550758,41093162
146,Kericho,Litein,Townhouse,5,3,4435,40900001,1.24,2012,4.15,-2239190,44943226,42545151,47847472,40154469,42056042
147,Kericho,Kapsoit,Townhouse,5,5,3220,99411132,1.78,1999,13.63,7997871,105956609,119015951,127522031,88202807,119048886
148,Nyeri,King'ong'o,Bungalow,2,1,2786,46720294,1.67,2007,47.28,-1342320,45869061,55980826,37984685,47111948,43919959
149,Kericho,Motobo,Mansion,3,2,3784,24081948,4.46,1995,25.02,6693305,20592869,23778001,23964085,27873805,21693530
150,Machakos,Matuu,Bungalow,4,3,4939,37358834,2.82,2011,33.19,7454398,31371375,33091321,43468993,43548669,44431141
151,Nakuru,London,Apartment,4,1,4331,2526496,4.13,2000,13.03,216977,2807985,2437802,2131090,2816996,2466479
152,Kisumu,Nyalenda,Villa,2,1,2575,36030918,1.04,2014,17.87,830824,38298329,38898020,46424238,36126229,36278055
153,Kisumu,Mamboleo,Bungalow,5,2,4567,66976329,4.94,2012,4.8,11972164,78251944,62556829,70414638,58311154,71987835
154,Kisumu,Mamboleo,Bungalow,2,2,2096,36355896,4.75,1991,6.91,7129871,39493034,30589668,31223998,31467355,33562080
155,Nyeri,Mathari,Villa,5,5,2222,67528396,2.74,1981,17.31,-3479887,69976674,72734428,78116091,59711809,70016725
156,Kericho,Kapsoit,Mansion,1,1,1124,67558722,3.15,2015,33.12,2711754,75744908,74298608,82326292,62806364,58716715
157,Kericho,Ainamoi,Mansion,5,5,4451,32825489,3.28,1985,38.58,-2734394,26788742,38742857,31952415,36839437,34351360
158,Nakuru,London,Mansion,2,1,3224,27810269,2.02,2022,45.65,-1763753,25047542,35912497,26279086,25917517,27542008
159,Kericho,Motobo,Townhouse,1,1,1334,58781640,2.39,1999,6.8,-9353636,54788351,59750601,49162538,59083925,71621591
160,Kisumu,Lolwe,Villa,5,2,2254,96767753,4.0,2008,3.53,-17422128,80931217,105379268,82309082,96631725,95883112
161,Mombasa,Changamwe,Apartment,2,2,2112,35015637,2.59,1992,32.29,-801882,38922061,29621123,44781517,34664627,39102268
162,Nairobi,Kilimani,Townhouse,4,4,3806,45970191,3.25,1995,35.01,-8372428,37956349,53233103,50714586,41448624,50391453
163,Kisumu,Nyalenda,Bungalow,3,3,620,50438959,2.95,1984,41.25,11534977,63978644,45439899,57583680,51692075,50320850
164,Thika,Kiganjo,Mansion,6,1,3083,26074880,3.82,2006,7.76,2799582,28420233,26449834,26756283,24032417,25442684
165,Mombasa,Mtwapa,Apartment,4,1,1828,85981932,1.18,2010,25.41,-11214365,76674087,95236785,80874457,70408786,90090546
166,Malindi,Ganda,Apartment,5,4,3568,46547112,2.4,2019,36.69,-8867459,56199904,59134012,57113117,43862394,52105844
167,Kisumu,Nyamasaria,Villa,1,1,1099,20397819,4.34,1990,37.03,3135044,22254111,18774773,19563669,21551535,26483406
168,Nyeri,King'ong'o,Villa,3,1,4336,92233172,3.23,2012,33.0,-16749622,76598154,77032470,82468533,90604017,116229967
169,Kisumu,Nyalenda,Townhouse,2,1,2875,41289530,1.38,2018,49.01,10776540,49343814,46951753,36055346,35220668,33879015
170,Thika,Kimathi,Bungalow,1,1,4763,48962450,1.21,1995,13.29,10503101,39238371,42297889,51913585,47956519,55436226
171,Malindi,Watamu,Mansion,5,5,2200,80684506,3.42,1984,7.86,10974443,89881416,83128690,68458884,65811573,77113948
172,Thika,Kiganjo,Villa,5,3,2729,93189380,4.37,2006,24.66,10122971,79560448,86816509,91470479,101159167,93723602
173,Mombasa,Nyali,Apartment,6,6,4835,12010232,4.12,2000,13.64,2010291,13955507,11071706,15072964,11267658,12445010
174,Thika,Makongeni,Bungalow,4,4,1880,73232611,1.75,2003,25.56,16097598,71327811,60945768,69978778,75933100,75004318
175,Nairobi,Karen,Apartment,2,1,1536,86421071,2.39,1983,30.28,-15092208,78338937,102561839,75333364,72943211,91972122
176,Kisumu,Nyalenda,Apartment,3,1,1835,83952843,3.75,2012,22.57,22536625,79097458,79149714,72441809,69590169,101645648
177,Nyeri,Mathari,Bungalow,3,1,1794,84147123,1.19,2020,4.5,19397533,67536108,72687898,68811184,74949089,105904432
178,Mombasa,Nyali,Mansion,4,2,1986,46524539,3.55,2020,45.16,-1495472,50885801,47159463,53237214,50804971,39467830
179,Eldoret,Kapsoya,Apartment,3,1,4020,33579672,3.41,1980,28.1,-1971098,34359419,32546305,40607838,40762634,32991799
180,Machakos,Kangundo,Mansion,4,2,1578,76124739,1.73,1998,40.94,18749712,95372773,85901570,80969826,93525218,81958909
181,Thika,Kimathi,Villa,4,4,4955,58197817,2.36,1997,16.21,-6903419,65269800,51164904,72245658,49634623,67533507
182,Kericho,Motobo,Townhouse,5,1,3599,98679779,4.53,2000,26.62,-3878971,94947164,105257042,102639812,100897173,110933727
183,Nakuru,Naka,Townhouse,3,1,931,2437844,3.53,2008,27.1,95956,2198789,2500305,2300040,2666919,2764774
184,Mombasa,Changamwe,Villa,3,2,3656,70026195,2.65,2013,23.66,14205392,81724665,78771680,66118364,73807143,78066787
185,Nakuru,Lanet,Bungalow,1,1,3989,15848560,2.18,1987,14.34,-1031800,19691664,15428129,19952723,20383036,16872092
186,Thika,Ruiru,Mansion,5,2,4147,57561691,2.49,1994,49.49,-5325151,57786652,66867167,73179564,47616341,72390708
187,Nakuru,Lanet,Townhouse,1,1,2595,22718773,1.64,1983,22.47,-681919,22404132,27376404,29325262,24394486,26599166
188,Kisumu,Lolwe,Mansion,3,1,3073,99258788,2.41,1994,1.95,-361493,81404116,81926393,105376195,89463429,125569341
189,Eldoret,Langas,Bungalow,4,3,1985,89097450,4.96,1992,25.59,-4389783,101954339,84826169,96078806,88939611,85063020
190,Kisumu,Milimani,Villa,1,1,4372,98132973,3.0,1988,17.41,10046385,90616380,83523028,89938119,115061025,109296731
191,Kericho,Kapsoit,Mansion,3,2,1843,80777359,3.52,1989,33.8,-14340265,93649452,82011102,91966808,102072235,89227663
192,Nakuru,Kiamunyi,Villa,6,4,1070,57758524,2.21,2020,16.64,-6493516,55133696,58852820,66831024,49425259,54717474
193,Malindi,Sabaki,Bungalow,6,6,2637,21746403,4.66,1984,17.31,863749,27411171,23429005,23408237,22369307,19430386
194,Mombasa,Likoni,Apartment,2,1,4960,24949372,3.16,2015,12.86,3617000,21030649,25552564,28845910,28437084,31037731
195,Nairobi,Karen,Mansion,2,2,2035,12145944,1.27,2018,26.99,628455,12316095,11133982,14817966,14140650,14409055
196,Nairobi,Westlands,Mansion,3,2,4577,99450438,2.75,1984,23.75,-15468043,119320242,80313832,128486579,122218493,119343698
197,Mombasa,Mtwapa,Mansion,6,4,1438,83740760,1.09,1990,6.13,3962047,75859846,89723346,106032860,85689913,67024810
198,Eldoret,West Indies,Townhouse,1,1,3168,78310994,3.57,1990,26.78,1799579,65371396,89973564,99454994,77776491,90601486
199,Nyeri,Ruring'u,Townhouse,3,3,1433,61265603,1.34,1984,10.03,-9823961,52402209,57680314,68011704,53735423,53600545
200,Malindi,Watamu,Villa,3,1,3161,18709847,4.93,2001,49.26,2420280,18924845,20469748,19634185,18274709,21522558
201,Eldoret,Pioneer,Mansion,3,3,3820,98576757,3.12,2012,16.28,-2868200,86066711,112474497,100039386,87710131,111540892
202,Malindi,Sabaki,Villa,2,2,4914,70912579,3.01,2022,17.48,-11598021,79143553,59328378,78110838,86058696,66067068
203,Nyeri,Skuta,Mansion,2,1,3048,14365119,2.83,2018,15.8,3577745,16651646,16816479,17832612,13244097,17141828
204,Nyeri,Kamakwa,Townhouse,3,3,2588,66139679,1.26,2011,14.36,12005296,80427185,65222820,74989903,57837108,65034411
205,Nairobi,Kilimani,Apartment,5,2,4924,38988140,4.04,2018,8.07,4461871,41326463,43424947,31423865,41064091,50146875
206,Thika,Kiganjo,Villa,1,1,4508,19113529,2.25,1986,22.37,-117512,19483689,19046481,19099870,21566947,21478211
207,Nakuru,Naka,Mansion,2,2,2015,6996101,3.9,1995,11.27,-144988,5896101,7099178,7089055,7068019,7836310
208,Nakuru,Kiamunyi,Apartment,2,2,2350,72631664,2.18,2011,18.84,-11301406,74995182,59354789,68854728,63066022,58213218
209,Thika,Juja,Mansion,6,3,2604,90286010,2.72,2015,44.3,7648749,86487102,84189095,86764165,91997678,77052982
210,Eldoret,Kapsoya,Bungalow,3,2,4284,48889886,1.32,2009,34.44,1931503,55713659,46208915,53057495,60857091,57171700
211,Machakos,Athi River,Bungalow,6,5,4264,63558834,2.69,2012,10.08,-3018502,51521126,61324403,61740464,62816629,80877215
212,Nyeri,King'ong'o,Mansion,6,1,2458,90658348,4.45,1980,36.95,-15800048,82458172,92883098,113468664,115343055,85599896
